월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-11,서울,식품,522229,275,기존,5
2025-11,서울,생활용품,950690,525,기존,4
2025-11,서울,가전,572422,332,기존,5
2025-11,서울,패션,804947,326,기존,4
2025-11,서울,건강식품,630487,293,기존,5
2025-11,경기,식품,780922,448,기존,5
2025-11,경기,생활용품,490524,277,신규,4
2025-11,경기,가전,1131551,670,신규,4
2025-11,경기,패션,327179,160,신규,4
2025-11,경기,건강식품,498742,284,기존,5
2025-11,부산,식품,666726,315,기존,4
2025-11,부산,생활용품,525074,222,기존,5
2025-11,부산,가전,519512,267,기존,5
2025-11,부산,패션,346536,185,기존,5
2025-11,부산,건강식품,675739,313,기존,5
2025-11,대구,식품,596425,336,기존,5
2025-11,대구,생활용품,518959,219,신규,3
2025-11,대구,가전,783874,330,신규,4
2025-11,대구,패션,418280,205,기존,5
2025-11,대구,건강식품,591011,285,기존,4
2025-11,광주,식품,388642,206,기존,5
2025-11,광주,생활용품,271725,109,기존,5
2025-11,광주,가전,391705,222,신규,4
2025-11,광주,패션,471798,272,기존,4
2025-11,광주,건강식품,484428,211,신규,4
