상품코드,상품명,카테고리,현재재고량,안전재고량,단가,공급업체,입고일,유통기한,판매량,재고회전율,상태
ITEM001,노트북,전자제품,45,20,1200000,공급업체A,2025-01-10,2026-01-10,15,2.1,정상
ITEM002,마우스,전자제품,120,50,25000,공급업체B,2025-01-12,2026-01-12,35,1.8,정상
ITEM003,키보드,전자제품,80,30,45000,공급업체B,2025-01-15,2026-01-15,25,1.5,정상
ITEM004,모니터,전자제품,25,10,350000,공급업체A,2025-01-08,2026-01-08,8,1.2,부족
ITEM005,헤드폰,전자제품,90,40,80000,공급업체C,2025-01-14,2026-01-14,28,2.3,정상
ITEM006,티셔츠,의류,200,80,15000,공급업체D,2025-01-05,2025-12-31,65,2.8,정상
ITEM007,청바지,의류,150,60,45000,공급업체D,2025-01-07,2025-12-31,45,2.1,정상
ITEM008,운동화,의류,85,35,120000,공급업체E,2025-01-11,2025-12-31,22,1.9,정상
ITEM009,가방,의류,110,45,75000,공급업체F,2025-01-13,2025-12-31,38,2.4,정상
ITEM010,시계,의류,60,25,200000,공급업체G,2025-01-09,2025-12-31,18,1.6,정상
ITEM011,사과,식품,300,100,3000,공급업체H,2025-01-16,2025-01-30,95,3.2,정상
ITEM012,바나나,식품,250,80,2000,공급업체H,2025-01-17,2025-01-25,78,2.9,정상
ITEM013,우유,식품,180,60,4000,공급업체I,2025-01-15,2025-01-22,52,2.1,정상
ITEM014,빵,식품,120,40,5000,공급업체J,2025-01-18,2025-01-20,35,1.8,정상
ITEM015,계란,식품,200,70,6000,공급업체K,2025-01-14,2025-01-28,68,2.7,정상
ITEM016,샴푸,생활용품,150,50,12000,공급업체L,2025-01-12,2026-01-12,42,2.2,정상
ITEM017,치약,생활용품,200,80,8000,공급업체L,2025-01-13,2026-01-13,58,2.5,정상
ITEM018,휴지,생활용품,300,100,15000,공급업체M,2025-01-11,2026-01-11,85,2.8,정상
ITEM019,세제,생활용품,100,40,18000,공급업체N,2025-01-16,2026-01-16,28,1.9,정상
ITEM020,칫솔,생활용품,250,90,5000,공급업체O,2025-01-10,2026-01-10,72,2.6,정상
