월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-10,서울,식품,1044159,583,기존,4
2025-10,서울,생활용품,250495,106,기존,5
2025-10,서울,가전,426887,244,기존,5
2025-10,서울,패션,949779,382,신규,4
2025-10,서울,건강식품,306710,126,기존,5
2025-10,경기,식품,834756,449,기존,5
2025-10,경기,생활용품,966114,552,기존,5
2025-10,경기,가전,1128504,651,기존,5
2025-10,경기,패션,994569,411,기존,5
2025-10,경기,건강식품,343110,187,기존,4
2025-10,부산,식품,704593,380,신규,3
2025-10,부산,생활용품,373257,216,신규,4
2025-10,부산,가전,409571,192,기존,5
2025-10,부산,패션,803608,411,기존,4
2025-10,부산,건강식품,165949,100,기존,5
2025-10,대구,식품,476522,277,신규,4
2025-10,대구,생활용품,406345,199,기존,5
2025-10,대구,가전,554993,321,기존,4
2025-10,대구,패션,525362,308,기존,5
2025-10,대구,건강식품,340595,182,기존,5
2025-10,광주,식품,354063,202,신규,4
2025-10,광주,생활용품,334845,171,기존,5
2025-10,광주,가전,574607,275,신규,4
2025-10,광주,패션,690668,410,기존,5
2025-10,광주,건강식품,339105,187,신규,4
