날짜,페이지URL,방문자수,페이지뷰수,평균체류시간_초,이탈률_퍼센트,디바이스유형,브라우저,국가,전환수,수익_원
2025-01-01,/home,1250,1890,145,35.2,모바일,Chrome,한국,45,1250000
2025-01-01,/products,890,1200,98,42.1,데스크톱,Firefox,미국,23,890000
2025-01-01,/about,450,520,67,28.5,모바일,Safari,일본,12,450000
2025-01-02,/home,1380,2100,152,33.8,데스크톱,Chrome,한국,52,1380000
2025-01-02,/products,920,1350,105,39.7,모바일,Chrome,중국,28,920000
2025-01-02,/contact,320,380,89,31.2,데스크톱,Edge,한국,8,320000
2025-01-03,/home,1100,1650,138,36.4,모바일,Safari,한국,41,1100000
2025-01-03,/products,780,1100,92,41.8,데스크톱,Chrome,미국,19,780000
2025-01-03,/blog,280,340,76,29.1,모바일,Chrome,일본,6,280000
2025-01-04,/home,1450,2200,158,32.1,데스크톱,Firefox,한국,58,1450000
2025-01-04,/products,950,1400,108,38.6,모바일,Chrome,중국,31,950000
2025-01-04,/about,420,480,71,27.3,데스크톱,Safari,미국,11,420000
2025-01-05,/home,1200,1800,142,34.7,모바일,Chrome,한국,46,1200000
2025-01-05,/products,850,1250,95,40.2,데스크톱,Chrome,일본,22,850000
2025-01-05,/contact,350,420,85,30.5,모바일,Safari,중국,9,350000
2025-01-06,/home,1320,1980,148,33.9,데스크톱,Edge,한국,50,1320000
2025-01-06,/products,880,1300,102,39.4,모바일,Chrome,미국,26,880000
2025-01-06,/blog,310,370,78,28.9,데스크톱,Firefox,한국,7,310000
2025-01-07,/home,1180,1770,135,35.6,모바일,Safari,한국,44,1180000
2025-01-07,/products,820,1200,88,41.3,데스크톱,Chrome,중국,21,820000
