월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-01,서울,식품,684637,288,기존,5
2025-01,서울,생활용품,202594,110,기존,5
2025-01,서울,가전,299778,154,신규,3
2025-01,서울,패션,317432,158,신규,3
2025-01,서울,건강식품,595861,320,기존,5
2025-01,경기,식품,324524,182,신규,4
2025-01,경기,생활용품,553638,267,기존,5
2025-01,경기,가전,481724,201,기존,5
2025-01,경기,패션,336397,174,기존,5
2025-01,경기,건강식품,475658,201,기존,4
2025-01,부산,식품,279079,157,기존,5
2025-01,부산,생활용품,326185,142,신규,4
2025-01,부산,가전,299045,177,기존,5
2025-01,부산,패션,389083,176,기존,5
2025-01,부산,건강식품,275259,129,기존,5
2025-01,대구,식품,408412,216,기존,4
2025-01,대구,생활용품,468768,210,기존,5
2025-01,대구,가전,517426,277,기존,5
2025-01,대구,패션,104754,100,신규,4
2025-01,대구,건강식품,202490,100,기존,5
2025-01,광주,식품,377303,174,기존,5
2025-01,광주,생활용품,283201,138,기존,5
2025-01,광주,가전,374759,189,기존,5
2025-01,광주,패션,292276,140,기존,5
2025-01,광주,건강식품,397096,197,기존,5
