월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-12,서울,식품,1027835,429,신규,4
2025-12,서울,생활용품,230277,100,기존,5
2025-12,서울,가전,1683894,741,기존,5
2025-12,서울,패션,1031253,456,기존,5
2025-12,서울,건강식품,489726,272,기존,5
2025-12,경기,식품,448226,267,기존,5
2025-12,경기,생활용품,331464,175,신규,3
2025-12,경기,가전,808641,418,신규,3
2025-12,경기,패션,353554,193,기존,5
2025-12,경기,건강식품,891289,435,기존,5
2025-12,부산,식품,715747,357,기존,4
2025-12,부산,생활용품,638647,321,기존,5
2025-12,부산,가전,323555,193,기존,5
2025-12,부산,패션,360343,179,기존,4
2025-12,부산,건강식품,272129,126,신규,3
2025-12,대구,식품,735181,386,기존,5
2025-12,대구,생활용품,710894,359,기존,5
2025-12,대구,가전,372884,207,신규,4
2025-12,대구,패션,557792,302,신규,4
2025-12,대구,건강식품,378145,182,기존,5
2025-12,광주,식품,737918,308,기존,5
2025-12,광주,생활용품,339776,199,기존,5
2025-12,광주,가전,290123,164,신규,3
2025-12,광주,패션,621067,294,신규,3
2025-12,광주,건강식품,871286,445,기존,5
